recipe,rel,material
子姜炒鸭片,contains,鸭胸脯肉
海参一锅鲜,contains,海参（水浸）
虾丸海参,contains,海参（水浸）
家常熬黄花鱼,contains,大黄鱼
醉花菇,contains,花菇
红烧平菇,contains,平菇
四川神仙鸭子,contains,鸭
红烧刀鱼,contains,带鱼
麻辣豆腐,contains,豆腐
蚝油熘滑鸡球,contains,鸡胸脯肉
绣球鱼,contains,鲤鱼
金银绣球虾丸,contains,虾仁
冬瓜鸭盅,contains,鸭
原煨三丝鳝筒,contains,鳝鱼
杂瓣海参,contains,海参
粟子羊肉,contains,羊肉(肥瘦)
烟筒白菜,contains,大白菜(白梗)
清莲花豆腐,contains,豆腐
大良炒鲜奶,contains,牛奶
椒麻鸡块,contains,鸡
花生焖猪尾,contains,猪尾
原汁武陵甲鱼,contains,甲鱼
五香火肠,contains,猪大肠
清汤酿鸭掌,contains,鸭掌
鸡汁玉翠鱼丸,contains,番茄
潇湘五元龟,contains,乌龟
红煨白鳝,contains,猪肋条肉（五花肉）
虾酿竹荪卷汤,contains,竹荪(干)
凤菌一品豆腐,contains,豆腐
辣味豆腐盒,contains,豆腐
清炖牛肉,contains,牛肉(肥瘦)
香菇莴笋柱,contains,莴笋
三鲜凤羹,contains,鸡胸脯肉
杏仁熘鸡丁,contains,雏鸽
杏仁鹌鹑片,contains,鹌鹑肉
锅贴牡丹鱼,contains,鳜鱼
葱油桂鱼卷,contains,鳜鱼
虾茸酿草菇,contains,草菇
翡翠珍珠虾,contains,虾仁
蘑菇烩蛋白,contains,鸡蛋
韭白鱼丝,contains,鳜鱼
黄耳鱼片汤,contains,黄耳
火腿鸡卷,contains,童子鸡
油炝蚕豆,contains,蚕豆
冬菇菱角,contains,菱角
鳅鱼附豆腐汤,contains,泥鳅
三层楼,contains,油菜
冬菇烧猪脑髓,contains,猪脑
韭花肚尖丝,contains,猪肚
汤泡仔鸡,contains,鸡
枸杞青豆鸡米,contains,鸡胸脯肉
白汁玻璃鱼片,contains,丝瓜
清蒸鲫鱼,contains,鲫鱼
菊花冬笋桂鱼羹,contains,鳜鱼
锅贴鸽蛋,contains,鸽蛋
明月鸽蛋汤,contains,鸽蛋
什锦烩蛋丁,contains,鸡蛋
虾蛋烧海参,contains,海参（水浸）
湘江四色喜,contains,小白菜
包公鱼,contains,鲫鱼
香菇盒,contains,香菇（干）
玉兔海参,contains,海参（水浸）
油鸡,contains,鸡
烹子鱼,contains,凤尾鱼
清炒塘鱼片,contains,鲤鱼
虾仁珊瑚,contains,海蜇头
酱油嫩鸡,contains,鸡
卤汁面筋,contains,油面筋
酥鲫鱼,contains,鲫鱼
奶汤鲜核桃仁,contains,核桃
肺汤,contains,鲶鱼
黄焖野兔,contains,兔肉（野）
清汤鸡蒙冬菇,contains,鸡胸脯肉
芙蓉豆腐汤,contains,豆腐
珊瑚鱼条,contains,青鱼
芹黄肉丝,contains,芹黄
连锅子,contains,猪肉(瘦)
猴头蘑菇菜心,contains,猴头菇
春丝吐香,contains,香菇（鲜）
素油菜心,contains,油菜
熊掌豆腐,contains,豆腐
熘鸡卷,contains,鸡肉
青椒玉米,contains,玉米（鲜）
三珍烩鲍脯,contains,鲍鱼
芙蓉海四宝,contains,鸡蛋
三鲜鹌鹑蛋,contains,鹌鹑蛋
“寿”字鸭羹,contains,鸭胸脯肉
什锦粉丝,contains,粉丝
崂山十珍会,contains,核桃
龙舟鳜鱼,contains,鳜鱼
酿鸳鸯海参,contains,海参（水浸）
烧卖海参,contains,海参（水浸）
五香糖熏兔肉,contains,兔肉
炖虾蓉豆腐丸子,contains,虾仁
西红柿双参地牛尾,contains,番茄
黄焖带皮虾,contains,对虾
大蒜家常豆腐鱼,contains,鲤鱼
银蹄海参,contains,海参（水浸）
凤片海参,contains,海参（水浸）
麻酱海参,contains,海参（水浸）
椒香海参,contains,海参（水浸）
雪花海参,contains,海参（水浸）
六味海参,contains,海参（水浸）
扒白菜卷,contains,猪肉(肥瘦)
炒鹌鹑,contains,鹌鹑肉
鸡汤小豆腐,contains,豆腐(南)
葱酥鲫鱼,contains,鲫鱼
双冬氽肉丸子,contains,猪肉(瘦)
虾皮豆腐炒蛋,contains,虾皮
通心河鳗,contains,河鳗
坛烧肥鸡,contains,鸡
煨白汁鸡,contains,鸡肉
福建七星鱼丸汤,contains,海鳗
温州肉松,contains,猪肉(瘦)
什锦豆腐煲,contains,豆腐(南)
包心鱼丸,contains,海鳗
熏烤河鳗,contains,河鳗
空煎明虾,contains,明虾
红糟鸡丁,contains,鸡胸脯肉
柴把笋,contains,冬笋
栗子烧白菜,contains,大白菜(小白口)
瓤青头菌,contains,青头菌
素酸辣汤,contains,豆腐
荷花熘鸡片,contains,鸡胸脯肉
生炒鸡丝掐菜,contains,鸡胸脯肉
八宝桂鱼盒,contains,鳜鱼
娘娘爱,contains,童子鸡
芙蓉鸡,contains,母鸡
福寿全鸡,contains,童子鸡
鸡丝伊府面,contains,小麦面粉
桂花核桃仁,contains,核桃
香麻蒿菜,contains,豆腐干
西湖莼菜汤(二),contains,莼菜
红枣烧摆摆,contains,枣（干）
炝腐竹鲜蘑,contains,蘑菇(鲜蘑)
三鲜豆腐,contains,豆腐(南)
镜泊鲤丝,contains,鲤鱼
糖醋瓦块鱼,contains,大黄鱼
鲶鱼豆腐酒锅,contains,鲶鱼
焖香鸡,contains,母鸡
东北家常熬鱼,contains,草鱼
水炒鸡蛋,contains,鸡蛋
烧八宝老豆腐,contains,豆腐(南)
冰城山珍砂锅,contains,榛蘑(干)
什锦粟米羹,contains,玉米（鲜）
豆腐圆子,contains,豆腐
炖全鸡,contains,母鸡
汽水肉,contains,猪肋条肉（五花肉）
莲蓬豆腐,contains,豆腐
鸳鸯蟹,contains,螃蟹
豆酥糖,contains,大豆
白露蛏子,contains,冬笋
双冬炖老豆腐,contains,豆腐
火腿炖鞭笋,contains,火腿
盒子冬菇,contains,香菇（鲜）
罗汉菜,contains,发菜（干）
干贝金钩清汤什菜,contains,干贝
芋艿排骨煲,contains,芋头
粉蒸素鸡,contains,素鸡
山楂软糖,contains,山楂
桂花赤豆汤,contains,赤小豆
上海蒸鱼,contains,鳜鱼
冰豆腐塌菜,contains,乌菜
白烧素鸡,contains,油皮
芦笋烩鲜蘑,contains,芦笋
干贝咸蛋黄豆腐,contains,干贝
文丝豆腐,contains,豆腐
珍珠花菜,contains,菜花
香蕉奶冻,contains,香蕉
盐水腐竹,contains,腐竹
生煸豆荚,contains,豌豆
生煸豆苗,contains,豌豆苗
酸菜烧野鸭,contains,野鸭
清炖石鸡,contains,田鸡
骰子脑髓,contains,猪脑
炒兔丝,contains,兔肉
樱桃肉冻,contains,猪肋条肉（五花肉）
活豆腐,contains,豆腐(南)
粉蒸鸭子,contains,鸭
黄芪羊肉汤,contains,羊肉(肥瘦)
木耳疙背,contains,绿豆面
风霜雪叶,contains,小麦面粉
福荣肉,contains,猪肋条肉（五花肉）
红焖鸡,contains,鸡
神仙鸡,contains,鸡
栗子黄焖鸡,contains,童子鸡
捶鸡片,contains,鸡胸脯肉
芙蓉羊肚菌,contains,羊肚菌
黄花素鱼翅,contains,黄花菜（干）
柴把鸭子,contains,北京填鸭
红烧西施乳,contains,黑鱼
鸡水奶汤干丝,contains,豆腐干
焖兔肉,contains,兔肉
贵妃鸡,contains,母鸡
罗汉菜心,contains,油菜心
鸡茸鱼肚,contains,鸡胸脯肉
卷茸白菜,contains,大白菜(小白口)
炸烹铁雀,contains,麻雀
软硬铁雀,contains,麻雀
五香麻雀,contains,麻雀
胡萝卜浆汤,contains,胡萝卜
京式八宝豆腐,contains,豆腐(南)
荷花鱼丝,contains,鳜鱼
龙舟活鱼,contains,鳜鱼
漂浮鱼片汤,contains,鳜鱼
水晶明虾,contains,明虾
菊花熘鸡脯,contains,鸡胸脯肉
鲜莲鸡丁,contains,鸡胸脯肉
滑炒鸡片,contains,鸡胸脯肉
烩生鸡丝,contains,鸡胸脯肉
口蘑焖豆腐,contains,豆腐
番茄炒菜花,contains,菜花
肉烧白菜,contains,大白菜(小白口)
水豆腐花汤,contains,豆腐脑
开洋冬瓜汤,contains,冬瓜
高丽凤尾虾,contains,草虾
白菜炒肉丝,contains,白菜
五彩豆芽,contains,绿豆芽
雪里蕻豆瓣汤,contains,蚕豆
锅塌鲤鱼,contains,鲤鱼
芹酥鲫鱼,contains,鲫鱼
豆腐包子,contains,小麦面粉
炒鱼丝,contains,青鱼
番茄煨鱼,contains,鲤鱼
八卦豆腐,contains,豆腐(南)
鱼兜子,contains,草鱼
清蒸丸子,contains,猪肉(肥瘦)
核桃酪,contains,核桃
淡菜嵌肉,contains,淡菜(鲜)
清蒸钓带,contains,带鱼
莲香脱骨鸡,contains,母鸡
糟熘鱼白,contains,鳜鱼
银芽鸡丝,contains,鸡胸脯肉
蛋奶虾球,contains,明虾
鲜肉小笼,contains,小麦面粉
冬菇面筋,contains,油面筋
雪花鱼丝羹,contains,大黄鱼
腐皮黄鱼包,contains,大黄鱼
白油鸡枞,contains,鸡枞
番茄鸡蛋汤,contains,鸡蛋
木耳炒西芹,contains,木耳(水发)
海米芹菜,contains,芹菜
蛤肉木耳煮豆腐,contains,蛤蜊
鸡蛋蒸肉丸,contains,猪肉(肥瘦)
鹑蛋炖乌鸡,contains,乌骨鸡
雪花豆腐羹,contains,豆腐(南)
香菇豆泡,contains,油豆腐
干豇豆烧肉,contains,豇豆
豆腐酿虾,contains,豆腐
肉片炒豆腐,contains,豆腐
豆芽排骨汤,contains,黄豆芽
鲜辣脆元葱,contains,洋葱
合炒木须肉,contains,猪里脊肉
芹菜炒豆腐干,contains,芹菜
滑熘豆腐,contains,豆腐
金腿千千结,contains,火腿
菜胆扒鱼圆,contains,草鱼
熬白菜豆腐汤,contains,白菜
海米扒油菜,contains,油菜心
油菜金针菇,contains,油菜
油菜腐丝,contains,油菜
韭黄炒鸡柳,contains,韭黄
土豆炒肉丝,contains,土豆
青椒豆腐丝,contains,青椒
凉拌佛手瓜,contains,佛手瓜
香味牛肝菌,contains,猪里脊肉
海带黄豆汤,contains,海带(鲜)
麻辣青笋鸡,contains,鸡肉
蜜汁牛肉,contains,牛里脊肉
葱姜烧仔鸡,contains,童子鸡
西洋菜煲生鱼,contains,鲤鱼
芹菜叶豆腐羹,contains,豆腐
香菇拌豆腐丝,contains,油皮
沙锅酸辣浓汤,contains,冬笋
松仁玉米,contains,玉米（鲜）
海米拌油菜,contains,油菜
海参捞面,contains,海参（水浸）
砂锅鱼头豆腐,contains,鲢鱼头
三鲜豆苗,contains,豌豆苗
砂锅鱼头,contains,鲢鱼头
白菜豆腐煲,contains,白菜
虾仁烘蛋,contains,海虾
炖兔肉,contains,兔肉
红烧笋豆,contains,冬笋
蛋黄豆腐,contains,豆腐
咖喱笋肉炒干丝,contains,豆腐干
鲜豆腐皮炒虾仁,contains,油皮
珍珠豆腐,contains,豆腐
肉末炖豆腐,contains,豆腐
蒸酿香菇豆腐,contains,豆腐
百花蒸豆腐,contains,豆腐
皇饭儿夹豆腐煲,contains,豆腐
浇汁豆腐饺,contains,豆腐
豆苗鸡丝,contains,豌豆苗
鸡丝豌豆,contains,豌豆
火腿肉炒豌豆,contains,豌豆
鸡油笋豆,contains,蚕豆
蘑菇烧豆腐,contains,豆腐
白玉红油豆腐,contains,豆腐
豆泡烧油菜,contains,油豆腐
烧罗汉豆泡,contains,油豆腐
糖醋豆泡豌豆,contains,油豆腐
滑熘豆腐,contains,豆腐
三鲜豇豆,contains,豇豆
拌虾皮豆腐,contains,豆腐
韭菜豆腐干,contains,豆腐干
拌豆干荠菜松,contains,豆腐干
豌豆菜花,contains,豌豆
五香酱油豆,contains,大豆
蔬菜豆腐泥,contains,豆腐
家常豆腐羹,contains,豆腐
三丝蛋卷,contains,鸡蛋
鸡圈蛋花汤,contains,鸡蛋
莴苣叶煎蛋汤,contains,鸡蛋
奶汤素鱼丸,contains,牛奶
家常炖黄花鱼,contains,大黄鱼
三菇炖鱼头,contains,鲢鱼头
豆干炖鸽蛋,contains,鸽蛋
奶汤炖豆腐,contains,豆腐
菜包蒸肉,contains,大白菜(白梗)
双耳蒸肉丸,contains,猪肉(肥瘦)
葱姜蒸河鳗,contains,河鳗
豆腐蒸蛋,contains,鸡蛋
蒸肉豆腐,contains,豆腐
山楂煮鸡翅,contains,鸡翅
雪菜鲫鱼汤,contains,鲫鱼
黑豆芝麻泥鳅汤,contains,泥鳅
醋烹鲫鱼,contains,鲫鱼
白菜软炒虾,contains,河虾
芹菜拌豆干,contains,芹菜
双菇拌鸡肉,contains,鸡胸脯肉
草菇菜心,contains,白菜
香菇小油菜,contains,油菜
酱肉西兰花,contains,酱牛肉
莴笋叶豆腐羹,contains,豆腐(南)
芦笋炒肉片,contains,芦笋
冬笋里脊丝,contains,冬笋
冬笋鸡片,contains,鸡胸脯肉
花生酱鸡丝,contains,鸡胸脯肉
清炖鱼,contains,鲫鱼
香菇鸡块,contains,鸡
清蒸蛋羹,contains,鸡蛋
翡翠虾仁,contains,虾仁
烧白丸,contains,豆腐
烫红白丝,contains,豆腐干
芹菜炒肉丝,contains,猪肉(瘦)
肉片炒莴笋,contains,莴笋
盐煮毛豆,contains,毛豆
元旦烘虾,contains,鸡蛋
甘肃回族烧牛蹄筋,contains,牛蹄筋(泡发)
竹筒烤鱼,contains,青鱼
芋头扣肉,contains,猪肋条肉（五花肉）
酿小瓜,contains,南瓜
菠萝鸡片,contains,鸡胸脯肉
金钩挂玉牌,contains,豆腐
凉拌北风菌,contains,平菇
蛋丝韭菜,contains,韭菜
长寿汤,contains,南瓜
川椒煮黄鳝,contains,鳝鱼
荷叶包兔,contains,兔肉
海米焖蛋,contains,鸡蛋
赤豆炖鹌鹑,contains,赤小豆
银鱼炒蛋,contains,银鱼
鸡柳串烧,contains,鸡胸脯肉
玉兰茄子,contains,茄子
菠菜鳜鱼汤,contains,菠菜
鸡翅炖鳝鱼,contains,鳝鱼
如意白菜卷,contains,白菜
鲜蘑炖豆腐,contains,蘑菇(鲜蘑)
虾皮瓜丝,contains,冬瓜
葱油鸡丝,contains,鸡肉
开阳万年,contains,油菜
蛋花鸡汤,contains,鸡蛋
鸡肉蛋花汤,contains,紫菜(干)
牛肉菠菜汤,contains,牛肉（瘦）
四色豆腐,contains,油豆腐
虾仁鲜豆腐,contains,豆腐
香菇烧油菜,contains,油菜
清炒木耳菜,contains,木耳菜
口蘑烧菜心,contains,油菜
清炖茄子,contains,茄子
翡翠春笋,contains,春笋
木犀肉,contains,猪肋条肉（五花肉）
烧冬瓜肉丸子,contains,冬瓜
芹菜拌肉丝,contains,芹菜
麻酱拌豆腐,contains,豆腐
椒油拌豆腐,contains,豆腐
虾皮豆腐,contains,豆腐
辣油拌豆腐,contains,豆腐
清香豆腐,contains,豆腐(南)
素拌三丁,contains,豆腐
素炒韭菜,contains,韭菜
青椒炒豆腐丁,contains,豆腐
白菜豆腐丁,contains,白菜
菜花烧香菇,contains,菜花
清蒸豆腐羹,contains,豆腐
草菇炖豆腐,contains,豆腐(南)
炒素肉丝,contains,豆腐干
雪菜豆瓣泥,contains,芥菜
香芹拌腐竹,contains,芹菜
青蒜烧豆腐,contains,豆腐
牛奶蒸蛋,contains,鸡蛋
黄鱼烧豆腐,contains,大黄鱼
海米木耳烧冬瓜,contains,冬瓜
米粉蒸萝卜,contains,白萝卜
酥皮蛋饺,contains,豆腐
红烧鳗鱼,contains,河鳗
黄芪鲫鱼汤,contains,鲤鱼
蒸兔肉,contains,兔肉
花旗参蒸乳鸽,contains,雏鸽
蒸鱼豆花,contains,草鱼
竹荪煮草鸡,contains,鸡
山楂麦芽鸭肾汤,contains,鸭肫
蘑菇鲜贝煲,contains,鲜贝
粟米汤,contains,玉米（鲜）
竹荪丝瓜,contains,竹荪(干)
栗子芋头鸡汤,contains,栗子（鲜）
鸡蓉菠菜羹,contains,菠菜
葱油鲜鲢鱼,contains,鲢鱼
竹笙笋鸡,contains,竹荪(干)
清水菜头卷,contains,芥菜头
凉拌木耳菜,contains,木耳菜
绞肉胡萝卜炖豆腐,contains,豆腐
翡翠鸡块南瓜,contains,南瓜
素烩竹荪,contains,竹荪(干)
小笋炒里脊,contains,竹笋
香酥鲫鱼,contains,鲫鱼
奶汤鱼头,contains,鲢鱼
酸菜煮草鱼,contains,草鱼
红薯蒸牛肉,contains,牛肉(肥瘦)
炒鸽脯,contains,鸽肉
海参拌黄瓜,contains,海参（水浸）
肉末海参,contains,海参（水浸）
棒棒鸡,contains,鸡胸脯肉
川味炖豆腐,contains,豆腐
三鲜冻豆腐,contains,豆腐
蒸豆腐圆子,contains,豆腐
小豆腐炒虾皮,contains,大豆
巧炒豆渣,contains,豆腐渣
炖三鲜素鸭肾,contains,豆腐
香菇拌豆腐丝,contains,干豆腐
清拌扁豆,contains,扁豆
玉米豌豆羹,contains,豌豆
三丁豆腐羹,contains,豆腐(南)
砂锅白菜炖豆腐,contains,豆腐
美味木耳蛋汤,contains,鸡蛋
蘑菇鸡丁奶油汤,contains,牛奶
冬笋牛腱肉,contains,牛腱子肉
核桃肉苁蓉炖鸡,contains,公鸡
清蒸狮子头,contains,猪肉(肥瘦)
腊味南瓜蒸,contains,腊肉（烟肉）
牡丹花蒸鱼,contains,草鱼
百花蒸豆腐,contains,豆腐
北派蒸菜,contains,茼蒿
砂锅珍珠豆腐,contains,鸡胸脯肉
鹌鹑山药汤,contains,鹌鹑肉
鹌鹑笋菇汤,contains,鹌鹑肉
鲤鱼山楂汤,contains,鲤鱼
红花黑豆鲶鱼汤,contains,鲶鱼
陈皮黄鱼汤,contains,大黄鱼
炒莴笋,contains,莴笋
油煎毛豆腐,contains,豆腐
清炒山药丝,contains,山药
芙蓉口蘑,contains,口蘑
煮三冬,contains,冬瓜
豆腐熬海带,contains,豆腐
豉汁熬豆腐,contains,豆腐
海米香干芹菜,contains,芹菜
海米翡翠柿子椒,contains,柿子椒
银芽牛肉,contains,牛里脊肉
芝麻油菜,contains,油菜
黄花蛋汤,contains,黄花菜（干）
什锦汤,contains,圆白菜
芙蓉口蘑汤,contains,口蘑
肉丝豆腐羹,contains,豆腐
白菜炖豆腐,contains,大白菜(白梗)
生煎蚝油凤尾虾,contains,基围虾
果汁煎鸡脯,contains,鸡肉
油豆腐炒小白菜,contains,小白菜
白菜豆腐汤,contains,白菜
韭菜花拌豆腐,contains,豆腐(南)
青椒苤蓝丝,contains,苤蓝
蘑菇炒芦笋,contains,蘑菇(鲜蘑)
冬笋拌豆芽,contains,冬笋
洋菜芝麻酱鸡丝,contains,鸡肉
莴笋拌肝片,contains,猪肝
拔丝茄子,contains,茄子
熘冬瓜片,contains,冬瓜
冻粉鸡丝,contains,鸡肉
砂锅鱼头,contains,鲢鱼
烧茄子,contains,茄子(紫皮、长)
香糟豆腐,contains,豆腐
煨氽里脊片,contains,猪里脊肉
素烩豆腐,contains,豆腐
蒜苗炒香干,contains,蒜苔
豆腐干拌荠菜,contains,豆腐干
鲜香菇煮豆腐,contains,香菇（鲜）
芝麻香干,contains,豆腐干
四喜肉,contains,猪肋条肉（五花肉）
清炖肉,contains,猪肋条肉（五花肉）
红烧牛肉,contains,牛肉(肥瘦)
荷花白菜,contains,白菜
海米炒油平菇,contains,油菜
油菜叶拌豆腐丝,contains,油菜
鸳鸯包菜,contains,圆白菜
烧包菜丝,contains,圆白菜
烧茄子,contains,茄子
素红烧肉,contains,茄子
蒜调茄子,contains,茄子
如意笋,contains,竹笋
水粉圆子,contains,猪肉(肥瘦)
肉片番茄烧茄子,contains,茄子
肉丝白菜,contains,白菜
番茄菠菜拌肉丝,contains,猪肉(瘦)
白菜豆腐拌牛肉,contains,牛肉(肥瘦)
豆干牛肉丝,contains,酱牛肉
黄瓜拌兔丝,contains,兔肉
椒麻鸡丁,contains,鸡肉
银芽鸡丝,contains,鸡肉
拌双鸡丝,contains,鸡肉
芹菜拌烤鸭丝,contains,鸭肉
虾皮豆腐,contains,豆腐
豆腐虾肉丸,contains,豆腐
香椿芽烧豆腐,contains,香椿
软烂牛蹄筋,contains,牛蹄筋(泡发)
鱼头豆腐汤,contains,鲢鱼
紫米八宝鸭,contains,鸭
老厨白菜,contains,白菜
芹菜虾子,contains,虾籽
海米拌茼蒿,contains,茼蒿
西兰拌虾球,contains,海虾
金菇拌蜇皮,contains,海蜇皮
凉拌蚕豆,contains,蚕豆
柿椒拌豆角,contains,四季豆
榨菜末拌豆腐,contains,豆腐
油条拌豆腐,contains,豆腐
蒜虾豆腐,contains,豆腐(南)
麻香腐蓉,contains,豆腐
芝麻腐干,contains,豆腐干
海鲜拌菜花,contains,菜花
水煮花生米,contains,花生仁（生）
花生豆干,contains,豆腐干
冰糖荔枝,contains,荔枝
五香西芹,contains,西芹
菠菜炒豆芽,contains,黄豆芽
冬菇炒茼蒿,contains,茼蒿
鲜蘑玉兰片,contains,蘑菇(鲜蘑)
口蘑炒玉兰片,contains,口蘑
木耳炒豆腐皮,contains,油皮
腐干炒蒜苗,contains,豆腐干
葱油炒黄豆芽,contains,黄豆芽
青椒玉米,contains,玉米（鲜）
青辣椒炒玉米,contains,玉米（鲜）
豆腐干拌白菜心,contains,豆腐干
香椿拌干丝,contains,豆腐干
凉拌笋菇,contains,莴笋
荠菜拌豆腐,contains,荠菜
芝麻笋片,contains,莴笋
酱香豆腐干,contains,豆腐干
芙蓉煨菜花,contains,菜花
腐竹烧香菇,contains,香菇（鲜）
红烧豆腐泡,contains,油豆腐
砂锅白菜粉条汤,contains,白菜
白滑豆腐汤,contains,豆腐
三丝豆苗汤,contains,豌豆苗
炒素肉片,contains,蘑菇(鲜蘑)
粉蒸芋球,contains,芋头
香干白菜心,contains,大白菜(小白口)
豉油皇蒸红鱼,contains,罗非鱼
韭菜花炒墨鱼,contains,墨鱼
冬笋炒鸡片,contains,鸡肉
菜远炒鸡片,contains,鸡肉
蒜苗鸡条,contains,鸡肉
豆苗炒鸡丝,contains,鸡肉
蚝油煎双菇,contains,草菇
蒸素鸡,contains,素鸡
金华豆腐,contains,豆腐
